Name,Type,Average AA,Use,Recipes
Barth-Haas - Super Galena,Pellet,14.3,Boil,66
Barth-Haas - Super Pride,Pellet,14.3,Boil,171
Barth-Haas - Sybilla,Leaf/Whole,7,Boil,42
Barth-Haas - Tahoma,Pellet,7.5,Boil,31
Barth-Haas - Tettnang Tettnanger,Pellet,4,Boil,619
Barth-Haas - Topaz,Pellet,15.8,Dry Hop,36
Barth-Haas - Triple Pearl,Pellet,10.1,Boil,525
Barth-Haas - Triskel,Pellet,7.3,Boil,125
Barth-Haas - Vic Secret,Pellet,16.3,Whirlpool,154
Barth-Haas - Vital,Pellet,12.3,Boil,46
Barth-Haas - Warrior,Leaf/Whole,15.2,Boil,66
Barth-Haas - Whitbread Golding Variety,Leaf/Whole,6.3,Boil,13
Barth-Haas - Willamette,Pellet,5.1,Boil,199
Barth-Haas - Wye Challenger,Pellet,7.4,Aroma,77
Barth-Haas - Wye Target,Pellet,10.6,Boil,28
Barth-Haas - Zeus,Pellet,15.8,Boil,55
bay wa ag - saaz,Leaf/Whole,3.2,Boil,2
bay wa ag - tettnanger,Leaf/Whole,4,Boil,10
beer secret - East Kent Golding,Pellet,5,Boil,2
beerex - Citra,Pellet,12.5,Boil,3
beerex - Idaho 7,Pellet,13.1,Boil,6
beerex - Mosaic,Pellet,12.3,Boil,3
bohemia hop - Saaz,Pellet,4.2,Boil,4
Brewer’s Best - Amarillo,Pellet,8.6,Boil,3
Brewferm - African Queen,Pellet,11.4,Boil,15
Brewferm - Amarillo,Pellet,10.2,Boil,6
Brewferm - Aramis,Pellet,7.1,Boil,8
Brewferm - Barbe Rouge,Pellet,10.2,Boil,43
Brewferm - Columbus,Pellet,13.3,Boil,3
Brewferm - Fuggles,Pellet,3,Boil,2
Brewferm - Hallertau Hersbrucker,Leaf/Whole,4.2,Boil,139
Brewferm - Hallertau Mittelfrüh,Pellet,4.2,Boil,296
Brewferm - Magnum,Pellet,14,Boil,3
Brewferm - Northern Brew,Pellet,7,Boil,3
Brewferm - Polaris,Pellet,18.6,First Wort,12
Brewferm - Smaragd,Pellet,5.8,Boil,4
Brewferm - Southern Dawn,Pellet,13.3,Boil,69
Brewferm - Southern Star,Pellet,14.4,Boil,98
Brewferm - Target,Pellet,10.4,Boil,1
Brewferm - Tettnanger,Pellet,4,Boil,37
Brewland Japan - Mosaic,Pellet,8.7,Boil,2
Brewland Japan - Motueka,Pellet,6.7,Boil,2
brewmart - Fuggles,Pellet,4.6,Aroma,1
Brewmaster - Amarillo,Pellet,9.6,Whirlpool,163
Brewmaster - Czech Saaz,Pellet,3.2,Boil,"3,724"
Brewmaster - First Gold,Pellet,6.8,Boil,3
Brewmaster - Mandarina Bavaria,Leaf/Whole,9.3,Boil,102
Brewmaster - Northern Brewer,Pellet,7.4,Boil,129
Brewshop - Huell Melon,Leaf/Whole,6.6,Boil,3
Brewshop - Jester,Pellet,7.6,Aroma,3
Brewshpo - Ahtanum,Pellet,5,Dry Hop,5
BSG - Ahtanum,Pellet,4.1,Boil,59
BSG - Azacca,Pellet,13.6,Boil,421
BSG - Cascade,Leaf/Whole,7.9,Boil,"1,733"
BSG - Centennial,Pellet,10.3,Boil,"1,155"
BSG - Challenger,Pellet,7.1,Boil,512
BSG - Chinook,Pellet,12.5,Boil,876
BSG - Citra,Pellet,12.3,Boil,"2,251"
BSG - CTZ,Pellet,15.4,Boil,590
BSG - East Kent Goldings,Pellet,5.2,Boil,"1,367"
BSG - Falconer's Flight,Pellet,10.4,Dry Hop,104
BSG - First Gold Uk,Pellet,7.8,Dry Hop,59
BSG - Fuggle,Pellet,4.5,Boil,444
BSG - Galaxy,Pellet,14.5,Dry Hop,832
BSG - German Hallertau Mittelfrüh,Pellet,4.3,Boil,"1,156"
BSG - German Northern Brewer,Pellet,7.1,Boil,911
BSG - German Spalter Select,Pellet,3.5,Boil,69
BSG - Hallertau Mittelfruh,Pellet,3.1,Boil,578
BSG - Hallertauer Blanc,Pellet,9.9,Whirlpool,204
BSG - Hersbrucker,Pellet,2.5,Boil,288
BSG - HS-Sitiva,Pellet,7.5,Dry Hop,2
BSG - Idaho 7,Pellet,13.8,Whirlpool,"3,191"
BSG - Kazbek,Pellet,6,Boil,291
BSG - Magnum,Pellet,12.8,Boil,"2,159"
BSG - Mandarina Bavaria,Pellet,8.6,Boil,233
BSG - Mosaic,Pellet,11.4,Boil,"1,176"
BSG - Motueka,Pellet,6.9,Whirlpool,407
BSG - Mount Hood,Leaf/Whole,5.4,Boil,136
BSG - Nelson Sauvin,Pellet,11.5,Dry Hop,778
BSG - Nugget,Pellet,15.6,Boil,1
BSG - Pacifica,Leaf/Whole,5.3,Boil,68
BSG - Perle,Pellet,8.2,Boil,403
BSG - Rakau,Pellet,9.7,Dry Hop,156
BSG - Saaz,Pellet,3.4,Boil,"1,343"
BSG - Sabro,Lupulin Pellet,14.2,Dry Hop,"2,341"
BSG - Styrian Goldings,Pellet,3.5,Boil,2
BSG - Tettnang,Pellet,3.9,Boil,3
BSG - Tradition,Pellet,5.6,Boil,250
BSG - UK Target,Pellet,10,Boil,384
BSG - Wai-iti,Pellet,2.8,Dry Hop,47
BSG - Warrior,Pellet,15.9,Boil,313
BSG - Willamette,Pellet,4.4,Boil,647
central valley hops - Cashmere,Pellet,8.2,Boil,1
Charles Faram -,Leaf/Whole,8.5,Boil,16
Charles Faram - Admiral,Pellet,11.8,Boil,82
Charles Faram - Agnus,Pellet,12,Boil,4
Charles Faram - Ahtanum,Pellet,5.9,Whirlpool,4
Charles Faram - Amarillo,Leaf/Whole,9,Boil,320
Charles Faram - Amarillo T90,Pellet,6.1,Dry Hop,1
Charles Faram - Amethyst,Pellet,4.8,Boil,1
Charles Faram - Apollo,Pellet,17.5,Aroma,230
Charles Faram - Aramis,Pellet,6.6,Boil,116
Charles Faram - Archer,Leaf/Whole,4.2,Boil,105
Charles Faram - Atlas,Pellet,5.8,Boil,10
Charles Faram - Aurora,Pellet,7.2,Boil,73
Charles Faram - Azacca,Pellet,12.7,Boil,119
Charles Faram - Barbe Rouge,Pellet,9.8,Dry Hop,68
Charles Faram - Beata,Leaf/Whole,6.2,Boil,8
Charles Faram - Belma,Pellet,12.8,Boil,36
Charles Faram - Boadicea,Leaf/Whole,7.3,Hop Stand,109
Charles Faram - Bobek,Leaf/Whole,3.5,Boil,144
Charles Faram - Bouclier,Pellet,7.5,Whirlpool,17
Charles Faram - Brambling Cross,Leaf/Whole,6.2,Boil,160
Charles Faram - Bravo,Pellet,15.3,Whirlpool,46
Charles Faram - Brewers Gold,Pellet,7.3,Boil,132
Charles Faram - Bullion,Pellet,9.4,Dry Hop,27
Charles Faram - Bullion UK,Pellet,10.1,Boil,32
Charles Faram - Calypso,Leaf/Whole,12.7,Boil,40
Charles Faram - Cascade T90,Pellet,5,Dry Hop,1
Charles Faram - Cascade UK,Leaf/Whole,6.9,Aroma,354
Charles Faram - Cascade US,Pellet,7.1,Aroma,359
Charles Faram - Cashmere,Pellet,8.4,Boil,291
Charles Faram - Celeia,Pellet,3.4,First Wort,374
Charles Faram - Centennial,Pellet,9.4,Boil,324
Charles Faram - Centennial T90,Pellet,10,Dry Hop,1
Charles Faram - Challenger,Leaf/Whole,6.9,Boil,282
Charles Faram - Chelan,Leaf/Whole,13.5,Boil,1
Charles Faram - Chinook,Leaf/Whole,12.8,Hopback,291
Charles Faram - Citra,Leaf/Whole,12.6,Boil,844
Charles Faram - Citra T90,Pellet,12.9,Dry Hop,2
Charles Faram - Cluster,Pellet,7.5,Boil,41
Charles Faram - Columbus,Pellet,16,Boil,118
Charles Faram - Comet,Leaf/Whole,10,Dry Hop,44
Charles Faram - Crystal,Pellet,4.1,Boil,13
Charles Faram - Dana,Pellet,9.8,Boil,22
Charles Faram - Dr. Rudi,Pellet,12.2,Boil,8
Charles Faram - East Kent Goldings,Leaf/Whole,6.3,Aroma,311
Charles Faram - Ekuanot,Pellet,14.4,Hop Stand,93
Charles Faram - El Dorado,Pellet,14.8,Boil,188
Charles Faram - Ella,Pellet,15,Whirlpool,7
Charles Faram - Endeavour,Leaf/Whole,7.6,Dry Hop,142
Charles Faram - Epic,Leaf/Whole,4.2,Boil,7
Charles Faram - Ernest,Pellet,6,Boil,121
Charles Faram - Eureka!,Pellet,17.9,Whirlpool,88
Charles Faram - First Gold,Leaf/Whole,7.6,Boil,87
