Name,Type,Average AA,Use,Recipes
Yakima Valley Hops - AU Enigma,Pellet,17.5,Whirlpool,9
Yakima Valley Hops - AU Galaxy,Pellet,14.6,Dry Hop,"2,739"
Yakima Valley Hops - AU Vic Secret,Pellet,18.2,Boil,979
Yakima Valley Hops - Azacca,Pellet,13.3,Whirlpool,"1,506"
Yakima Valley Hops - Barbe Rouge,Pellet,8.3,Boil,280
Yakima Valley Hops - Bravo,Pellet,14.8,Boil,555
Yakima Valley Hops - BRU-1,Pellet,14.5,Boil,"4,710"
Yakima Valley Hops - Callista,Pellet,3.1,Whirlpool,5
Yakima Valley Hops - Cascade,Pellet,6.5,Dry Hop,"3,407"
Yakima Valley Hops - Cashmere,Leaf/Whole,7.3,Boil,"4,906"
Yakima Valley Hops - Cashmere LUPOMAX,Lupulin Pellet,13.5,Dry Hop,4
Yakima Valley Hops - Centennial,Pellet,9,Dry Hop,"2,903"
Yakima Valley Hops - Chinook,Pellet,12.8,Whirlpool,"1,410"
Yakima Valley Hops - Citra,Pellet,13.2,Boil,"8,055"
Yakima Valley Hops - Columbus,Pellet,13.9,Boil,3
Yakima Valley Hops - Comet,Pellet,9.8,Dry Hop,379
Yakima Valley Hops - Crystal,Leaf/Whole,4.4,Boil,160
Yakima Valley Hops - CTZ,Pellet,14.5,Boil,"1,416"
Yakima Valley Hops - CZ Kazbek,Pellet,4.6,Boil,13
Yakima Valley Hops - CZ Saaz,Pellet,3.2,Boil,"1,514"
Yakima Valley Hops - Denali,Pellet,14.5,Boil,492
Yakima Valley Hops - East Kent Golding,Pellet,5.7,Boil,"2,388"
Yakima Valley Hops - Ekuanot,Pellet,14.8,Whirlpool,320
Yakima Valley Hops - El Dorado,Pellet,14.1,Whirlpool,"2,337"
Yakima Valley Hops - Ella,Pellet,13.8,First Wort,6
Yakima Valley Hops - Experimental Grapefruit,Pellet,16.3,Boil,170
Yakima Valley Hops - Experimental Lemonaughty,Pellet,10.6,Dry Hop,11
Yakima Valley Hops - Experimental Tangerine,Pellet,6.8,Boil,41
Yakima Valley Hops - FR Brewer's Gold,Pellet,5.5,Boil,1
Yakima Valley Hops - FR Fuggle,Pellet,3,Boil,4
Yakima Valley Hops - FR Minstral,Pellet,7,Boil,2
Yakima Valley Hops - FR Strisselspalt,Pellet,2.3,Boil,5
Yakima Valley Hops - Fuggle,Pellet,4.8,Boil,"2,574"
Yakima Valley Hops - Fuggles,Pellet,4.3,Boil,405
Yakima Valley Hops - Galaxy,Pellet,16.3,Whirlpool,12
Yakima Valley Hops - Glacier,Pellet,5.3,Boil,2
Yakima Valley Hops - GR Calista,Pellet,3.2,Boil,8
Yakima Valley Hops - GR Hersbrucker,Pellet,2.3,Boil,21
Yakima Valley Hops - GR Magnum,Pellet,12.9,First Wort,3
Yakima Valley Hops - GR Mandarina Bavaria,Pellet,7.5,Boil,47
Yakima Valley Hops - GR Monroe,Pellet,3.3,Boil,84
Yakima Valley Hops - GR Perle,Pellet,6.9,Boil,32
Yakima Valley Hops - GR Saphir,Pellet,3.7,Boil,8
Yakima Valley Hops - GR Tettnanger,Pellet,3.3,Boil,845
Yakima Valley Hops - Hallertau (Mittelfruh),Pellet,3.8,Boil,"2,002"
Yakima Valley Hops - Hallertau Blanc,Pellet,8.8,First Wort,14
Yakima Valley Hops - HBC 472,Pellet,8.3,First Wort,8
Yakima Valley Hops - HBC 586,Pellet,13.3,Whirlpool,5
Yakima Valley Hops - HBC 630,Pellet,14.2,Boil,3
Yakima Valley Hops - HBC-586,Pellet,9.1,Boil,11
Yakima Valley Hops - HBC-630,Pellet,13.5,Boil,3
Yakima Valley Hops - Hüll Melon,Pellet,6.2,Boil,"1,157"
Yakima Valley Hops - Idaho 7,Pellet,12.7,Boil,"7,636"
Yakima Valley Hops - Idaho Gem,Pellet,12.5,Dry Hop,"1,690"
Yakima Valley Hops - Jarrylo,Pellet,12.7,Boil,73
Yakima Valley Hops - Loral,Pellet,10.6,Boil,310
Yakima Valley Hops - LUPOMAX Amarillo,Pellet,14,Dry Hop,549
Yakima Valley Hops - LUPOMAX Azacca,Lupulin Pellet,16.6,Whirlpool,191
Yakima Valley Hops - LUPOMAX BRU-1,Leaf/Whole,19.2,Dry Hop,355
Yakima Valley Hops - LUPOMAX Cashmere,Pellet,13.6,Whirlpool,208
Yakima Valley Hops - LUPOMAX Citra,Lupulin Pellet,18.4,Dry Hop,"2,450"
Yakima Valley Hops - LUPOMAX Columbus,Pellet,20.1,First Wort,554
Yakima Valley Hops - LUPOMAX Ekuanot,Pellet,18.8,Boil,147
Yakima Valley Hops - LUPOMAX El Dorado,Lupulin Pellet,19,Whirlpool,2
Yakima Valley Hops - LUPOMAX HBC 586,Lupulin Pellet,16.5,Whirlpool,2
Yakima Valley Hops - LUPOMAX Mosaic,Pellet,17.7,Dry Hop (High Krausen),"1,691"
Yakima Valley Hops - LUPOMAX Sabro,Pellet,19.8,Dry Hop (High Krausen),778
Yakima Valley Hops - Magnum,Pellet,14.1,Boil,"1,358"
Yakima Valley Hops - Mandarina Bavaria,Pellet,8.4,Boil,566
Yakima Valley Hops - Medusa,Pellet,4.4,Boil,"1,453"
Yakima Valley Hops - Mosaic,Pellet,11.6,Boil,"4,985"
Yakima Valley Hops - Mt Hood,Pellet,5.4,Boil,802
Yakima Valley Hops - Nectaron,Pellet,9.8,Whirlpool,4
Yakima Valley Hops - Northern Brewer,Pellet,8.7,Boil,524
Yakima Valley Hops - Nugget,Pellet,13.6,Boil,51
Yakima Valley Hops - NZ Kohatu,Leaf/Whole,5.7,Boil,136
Yakima Valley Hops - NZ Motueka,Pellet,5.9,Boil,"1,293"
Yakima Valley Hops - NZ Moutere,Pellet,16.1,Boil,7
Yakima Valley Hops - NZ Nectaron,Pellet,10,Whirlpool,4
Yakima Valley Hops - NZ Nelson Sauvin,Pellet,11.6,Boil,"1,524"
Yakima Valley Hops - NZ Rakau,Pellet,9.5,Boil,503
Yakima Valley Hops - NZ Waimea,Pellet,14.1,Boil,277
Yakima Valley Hops - Pekko,Pellet,15.5,Whirlpool,"1,385"
Yakima Valley Hops - Perle,Leaf/Whole,6.1,Boil,908
Yakima Valley Hops - Riwaka,Pellet,5.9,Boil,341
Yakima Valley Hops - SA Blend,Pellet,8.8,Hop Stand,16
Yakima Valley Hops - Saaz,Pellet,3.4,Aroma,"1,036"
Yakima Valley Hops - Sabro,Pellet,14.9,Whirlpool,"5,820"
Yakima Valley Hops - Search...,Pellet,5.6,Boil,16
Yakima Valley Hops - simco,Pellet,12.6,Dry Hop,1
Yakima Valley Hops - Simcoe,Pellet,12.9,Boil,"3,052"
Yakima Valley Hops - SL Styrian Goldings,Pellet,3,Boil,3
Yakima Valley Hops - Sorachi Ace,Pellet,11,Boil,3
Yakima Valley Hops - Southern Aroma,Pellet,5.8,Boil,354
Yakima Valley Hops - Southern Cross,Pellet,12.5,Boil,3
Yakima Valley Hops - Southern Passion,Pellet,10.6,Boil,"1,893"
Yakima Valley Hops - Southern Promise,Pellet,10.9,Boil,709
Yakima Valley Hops - Southern Star,Pellet,13.7,Hop Stand,59
Yakima Valley Hops - Spalt Select,Pellet,2.6,Boil,5
Yakima Valley Hops - Strata,Pellet,12.4,Whirlpool,"7,098"
Yakima Valley Hops - Strisselspalt,Pellet,1.8,Boil,6
Yakima Valley Hops - Summit,Pellet,16.4,Boil,225
Yakima Valley Hops - Tahoma,Pellet,7.1,Boil,457
Yakima Valley Hops - Talus,Pellet,8.9,Dry Hop,"2,072"
Yakima Valley Hops - UK Challenger,Pellet,5.6,Boil,8
Yakima Valley Hops - US Golding,Pellet,4.2,First Wort,4
Yakima Valley Hops - Vic Secret,Pellet,19.6,Whirlpool,10
Yakima Valley Hops - Wakatu,Pellet,7,First Wort,150
Yakima Valley Hops - Warrior,Pellet,16.4,Boil,"1,185"
Yakima Valley Hops - Willamette,Pellet,5.1,Boil,"1,497"
Yakima Valley Hops - Zappa,Pellet,4.9,Whirlpool,2
YCR - Pahto,Pellet,19.2,Boil,514
